user_0|method_4,method_1,method_5,method_16|8.0,8.0,8.0,8.0|atlanta unions campaign to unionize atlanta olympics 19911993|united states|democracy|change|no|no|no|no
user_0|method_5,method_16,method_173,method_78|8.0,8.0,8.0,8.0|atlanta unions campaign to unionize atlanta olympics 19911993|united states|democracy|change|no|no|no|no
user_0|method_173,method_78,method_38,method_32|8.0,8.0,8.0,8.0|atlanta unions campaign to unionize atlanta olympics 19911993|united states|democracy|change|no|no|no|no
user_0|method_38,method_32,method_11,method_9|8.0,8.0,8.0,8.0|atlanta unions campaign to unionize atlanta olympics 19911993|united states|democracy|change|no|no|no|no
user_0|method_11,method_9,method_8,method_3|8.0,8.0,8.0,8.0|atlanta unions campaign to unionize atlanta olympics 19911993|united states|democracy|change|no|no|no|no
user_0|method_11,method_9,method_8,method_3|8.0,8.0,8.0,8.0|atlanta unions campaign to unionize atlanta olympics 19911993|united states|democracy|change|no|no|no|no
user_10|method_6,method_37,method_34,method_2|8.0,8.0,8.0,8.0|brown university students campaign for brown to cancel contract with adidas 20122013|united states|economic justice|defense|no|no|no|no
user_10|method_34,method_2,method_52,method_4|8.0,8.0,8.0,8.0|brown university students campaign for brown to cancel contract with adidas 20122013|united states|economic justice|defense|no|no|no|no
user_10|method_52,method_4,method_1,method_47|8.0,8.0,8.0,8.0|brown university students campaign for brown to cancel contract with adidas 20122013|united states|economic justice|defense|no|no|no|no
user_10|method_1,method_47,method_21,method_8|8.0,8.0,8.0,8.0|brown university students campaign for brown to cancel contract with adidas 20122013|united states|economic justice|defense|no|no|no|no
user_10|method_21,method_8,method_7,method_38|8.0,8.0,8.0,8.0|brown university students campaign for brown to cancel contract with adidas 20122013|united states|economic justice|defense|no|no|no|no
user_10|method_21,method_8,method_7,method_38|8.0,8.0,8.0,8.0|brown university students campaign for brown to cancel contract with adidas 20122013|united states|economic justice|defense|no|no|no|no
user_100|method_151,method_171,method_47,method_80|4.5,4.5,4.5,4.5|indians march for goan liberation 19541955|india|democracy|change|yes|no|no|yes
user_100|method_47,method_80,method_38,method_18|4.5,4.5,4.5,4.5|indians march for goan liberation 19541955|india|democracy|change|yes|no|no|yes
user_100|method_47,method_80,method_38,method_18|4.5,4.5,4.5,4.5|indians march for goan liberation 19541955|india|democracy|change|yes|no|no|yes
user_1000|method_11,method_14,method_15,method_172|10.0,10.0,10.0,10.0|campaign for the liberation of the suchitoto 13 prisoners in el salvador 200708|el salvador|democracy|defense|yes|no|no|yes
user_1000|method_15,method_172,method_7,method_25|10.0,10.0,10.0,10.0|campaign for the liberation of the suchitoto 13 prisoners in el salvador 200708|el salvador|democracy|defense|yes|no|no|yes
user_1000|method_7,method_25,method_34,method_37|10.0,10.0,10.0,10.0|campaign for the liberation of the suchitoto 13 prisoners in el salvador 200708|el salvador|democracy|defense|yes|no|no|yes
user_1000|method_34,method_37,method_38,method_6|10.0,10.0,10.0,10.0|campaign for the liberation of the suchitoto 13 prisoners in el salvador 200708|el salvador|democracy|defense|yes|no|no|yes
user_1000|method_38,method_6,method_8,method_10|10.0,10.0,10.0,10.0|campaign for the liberation of the suchitoto 13 prisoners in el salvador 200708|el salvador|democracy|defense|yes|no|no|yes
user_1000|method_8,method_10,method_2,method_3|10.0,10.0,10.0,10.0|campaign for the liberation of the suchitoto 13 prisoners in el salvador 200708|el salvador|democracy|defense|yes|no|no|yes
